Time Period,Rank,Merchant Name,Merchant ID,Order Count,Percentage of Period,Total Period Orders,Period % of Total,Avg Order Amount (KD)
Breakfast (5:00-9:30 AM),1,Kuwait London Company,6194c76e68705f0032cc5ff8,2779,5.67,49023,4.91,11.987
Breakfast (5:00-9:30 AM),2,Trolley New,607563f4d17aba0039868e50,2746,5.6,49023,4.91,11.987
Breakfast (5:00-9:30 AM),3,Cari,686e278582dcb1004ea5f6d9,2397,4.89,49023,4.91,11.987
Breakfast (5:00-9:30 AM),4,Al Taby Restaurant,62f4021d677dfb002a5d0719,1979,4.04,49023,4.91,11.987
Breakfast (5:00-9:30 AM),5,Teta's kw,642d55fe071d780024f52864,1961,4.0,49023,4.91,11.987
Breakfast (5:00-9:30 AM),6,Zyda,5bea9cdfdf58b70019345ea7,1830,3.73,49023,4.91,11.987
Breakfast (5:00-9:30 AM),7,My Favorite Bakery,633d4531bf1223002c9deb16,1299,2.65,49023,4.91,11.987
Breakfast (5:00-9:30 AM),8,March'ya,61f2591cc8c2fc003748994b,1237,2.52,49023,4.91,11.987
Breakfast (5:00-9:30 AM),9,Al Taby ( Qurain ),646209dd2250b0002f090efc,977,1.99,49023,4.91,11.987
Breakfast (5:00-9:30 AM),10,Layers Master,6151a08c8528a0002bfc1bc5,966,1.97,49023,4.91,11.987
Morning Snack (9:30-11:00 AM),1,Alowaid,67738325f1087f0031f2b75d,2258,5.39,41885,4.19,12.859
Morning Snack (9:30-11:00 AM),2,Cari,686e278582dcb1004ea5f6d9,2159,5.15,41885,4.19,12.859
Morning Snack (9:30-11:00 AM),3,Trolley New,607563f4d17aba0039868e50,2016,4.81,41885,4.19,12.859
Morning Snack (9:30-11:00 AM),4,Ever bakery,5edbdda9d5bef0001c32e654,1929,4.61,41885,4.19,12.859
Morning Snack (9:30-11:00 AM),5,Zyda,5bea9cdfdf58b70019345ea7,1661,3.97,41885,4.19,12.859
Morning Snack (9:30-11:00 AM),6,Blue Zone,5f9fd66573b1dd0021f907bb,861,2.06,41885,4.19,12.859
Morning Snack (9:30-11:00 AM),7,My Favorite Bakery,633d4531bf1223002c9deb16,856,2.04,41885,4.19,12.859
